source,colA,colC,colB
DOC_CA_PSKUs,7B4076-240.LN6036C,60 x 36 Shower Base Center Drain Linen,
DOC_CA_PSKUs,7B5000-240.WH6030L,60 x 30 x 2.6 Ultra Low Bases LH White,
DOC_CA_PSKUs,7B5002-240.GR6030L,60 x 30 x 2.6 Ultra Low Bases LH Grey,
DOC_CA_PSKUs,7B5003-240.WH6030R,60 x 30 x 2.6 Ultra Low Bases RH White,
DOC_CA_PSKUs,7B5006-240.WH6032L,60 x 32 x 2.6 Ultra Low Bases LH White,
DOC_CA_PSKUs,7B5008-240.GR6032L,60 x 32 x 2.6 Ultra Low Bases LH Grey,
DOC_CA_PSKUs,7B5009-240.WH6032R,60 x 32 x 2.6 Ultra Low Bases RH White,
DOC_CA_PSKUs,7B5011-240.GR6032R,60 x 32 x 2.6 Ultra Low Bases RH Grey,
DOC_CA_PSKUs,7B5013-240.GL3636C,36 x 36 Ultra Low Base Center Drain Grey,
DOC_CA_PSKUs,7B5022-240.GL4834C,48 x 34 Ultra Low Base Center Drain Grey,
DOC_CA_PSKUs,7B6000-240.LN3636C,"36"" NEO Shower Base Linen",
DOC_CA_PSKUs,7B6001-221.LN3838C,"36"" NEO Shower Base",
DOC_CA_PSKUs,7B6003-221.LN4242C,"42"" NEO Shower Base Linen",
DOC_CA_PSKUs,7B6004-221.WH3636C,"36"" NEO Shower Base White",
DOC_CA_PSKUs,7B6005-221.WH3838C,"38"" NEO",
DOC_CA_PSKUs,7B6007-221.WH4242C,"42"" NEO",
DOC_CA_PSKUs,7C0006-220.TS0110N,Acrylic - Tibur Stone,
DOC_CA_PSKUs,7C0100-250.CH1012N,Wire Shelf - CH,
DOC_CA_PSKUs,7C0100-250.CH1408N,Teak Shelf - CH,
DOC_CA_PSKUs,7C0101-250.BN1012N,Wire Shelf - BN,
DOC_CA_PSKUs,7C0102-250.MB1408N,Teak Shelf - MB,
DOC_CA_PSKUs,7C0103-250.MB1012N,Wire Shelf - MB,
DOC_CA_PSKUs,7C3000-220.WH0705N,White,
DOC_CA_PSKUs,7C3003-220.RS0705N,Roman Stone,
DOC_CA_PSKUs,7C3004-220.LN0705N,Linen,
DOC_CA_PSKUs,7C3005-220.SV0705N,Silver Vein,
DOC_CA_PSKUs,7C3008-220.VM0705N,Vienna Mist,
DOC_CA_PSKUs,7C4100-250.CH1804N,Teak Shampoo Shelf CH,
DOC_CA_PSKUs,7C4101-250.BN1804N,Teak Shampoo Shelf BN,
DOC_CA_PSKUs,7C4102-250.MB1804N,Teak Shampoo Shelf MB,
DOC_CA_PSKUs,7C5003-250.SS1414N,Storage Pod 14 x 14 SS,
DOC_CA_PSKUs,7C5037-250.MB1414N,Storage Pod 14 x 14 MB,
DOC_CA_PSKUs,7C6000-240.WH0710N,Solid Surface - White,
DOC_CA_PSKUs,7C6001-240.CE0710N,Solid Surface - Linen,
DOC_CA_PSKUs,7G0110-250.CH6065N,60in - Tub - Celesta Tub Door 60x65 - CH - LH,
DOC_CA_PSKUs,7G0111-250.BN6065N,60in - Tub - Celesta Tub Door 60x65 - BN - RH,
DOC_CA_PSKUs,7G0112-250.MB6065N,60in - Tub - Celesta Tub Door 60x65 - MB - LH,
DOC_CA_PSKUs,7G0114-250.CH6065N,60in - Tub - Silk Celesta Tub Door 60x65 - CH - LH,
DOC_CA_PSKUs,7G0115-250.BN6065N,60in - Tub - Silk Celesta Tub Door 60x65 - BN - LH,
DOC_CA_PSKUs,7G0116-250.MB6065N,60in - Tub - Silk Celesta Tub Door 60x65 - MB - LH,
DOC_CA_PSKUs,7G1110-250.CH3276N,"32"" Pivot Door Chrome",
DOC_CA_PSKUs,7G1111-250.BN3276N,"32"" Pivot Door Brushed Nickel",
DOC_CA_PSKUs,7G1112-250.MB3276N,"32"" Pivot Door Matte Black",
DOC_CA_PSKUs,7G1116-250.CH4276N,"42"" Pivot Door Chrome",
DOC_CA_PSKUs,7G1117-250.BN4276N,"42"" Pivot Door Brushed Nickel",
DOC_CA_PSKUs,7G1118-250.MB4276N,"42"" Pivot Door Matte Black",
DOC_CA_PSKUs,7G1300-250.CH6076N,60in - Shower - Celesta Bypass Shower 60x76 - CH,
DOC_CA_PSKUs,7G1301-250.BN6076N,60in - Shower - Celesta Bypass Shower 60x76 - BN,
DOC_CA_PSKUs,7G1303-250.MB6076N,60in - Shower - Celesta Bypass Shower 60x76 - MB,
DOC_CA_PSKUs,7G1304-250.CH4876N,48in - Shower - Celesta Bypass Shower 48x76 - CH,
DOC_CA_PSKUs,7G1305-250.BN4876N,48in - Shower - Celesta Bypass Shower 48x76 - BN,
DOC_CA_PSKUs,7G1307-250.MB4876N,48in - Shower - Celesta Bypass Shower 48x76 - MB,
DOC_CA_PSKUs,7G1309-250.CH6076N,60in - Shower - Silk Celesta Bypass Shower 60x76 - CH,
DOC_CA_PSKUs,7G1310-250.CH6076N,60in - Shower - Silk Celesta Bypass Shower 60x76 - BN,
DOC_CA_PSKUs,7G1311-250.MB6076N,60in - Shower - Silk Celesta Bypass Shower 60x76 - MB,
