,SAP_ProductID,LongDescr,Manufacturer,,,,,,,
WIT,,,Manufacturer,,,,,,,
C4100250CH1804N,7C4100-250.CH1804N,Shampoo Shelf Teak CH,ASHS - Seachrome,,,,,,,
C4101250BN1804N,7C4101-250.BN1804N,Shampoo Shelf Teak BN,ASHS - Seachrome,,,,,,,
C4102250MB1804N,7C4102-250.MB1804N,Shampoo Shelf Teak MB,ASHS - Seachrome,,,,,,,
CURTAIN RODS,,,,,,,,,,
CURVED RODS AND BRACKETS,,,,,,,,,,
7E1000250CH0060,7E1000-250.CH0060N,"Curved Shower Rod 60"" Chrome",ASHS - Seachrome,,,,,,,
7E1001250BN0060,7E1001-250.BN0060N,"Curved Shower Rod 60"" BN",ASHS - Seachrome,,,,,,,
7E1002250MB0060,7E1002-250.MB0060N,"Curved Shower Rod 60"" MB",ASHS - Seachrome,,,,,,,
7E1003250CH0066,7E1003-250.CH0066N,Curved Shower Rod 6' Chrome,ASHS - Seachrome,,,,,,,
7E1004250BN0066,7E1004-250.BN0066N,Curved Shower Rod 6' BN,ASHS - Seachrome,,,,,,,
7E1005250MB0066,7E1005-250.MB0066N,Curved Shower Rod 6' MB,ASHS - Seachrome,,,,,,,
7E1006250CH0036,7E1006-250.CH0036N,"Curved Shower Rod 36"" CH",ASHS - Seachrome,,,,,,,
7E1007250BN0036,7E1007-250.BN0036N,"Curved Shower Rod 36"" BN",ASHS - Seachrome,,,,,,,
7E1008250MB0036,7E1008-250.MB0036N,"Curved Shower Rod 36"" MB",ASHS - Seachrome,,,,,,,
7E1009250CH0048,7E1009-250.CH0048N,"Curved Shower Rod 48"" CH",ASHS - Seachrome,,,,,,,
7E1010250BN0048,7E1010-250.BN0048N,"Curved Shower Rod 48"" BN",ASHS - Seachrome,,,,,,,
7E1011250MB0048,7E1011-250.MB0048N,"Curved Shower Rod 48"" MB",ASHS - Seachrome,,,,,,,
7E0100250CH0125,7E0100-250.CH0125N,CURVED SHOWER ROD PIVOT FLANGES CH,ASHS - Seachrome,,,,,,,
7E0101250BN0125,7E0101-250.BN0125N,CURVED SHOWER ROD PIVOT FLANGES BN,ASHS - Seachrome,,,,,,,
7E0102250MB0125,7E0102-250.MB0125N,CURVED SHOWER ROD PIVOT FLANGES MB,ASHS - Seachrome,,,,,,,
STRAIGHT RODS AND BRACKETS,,,,,,,,,,
7E2100250CH0036,7E2100-250.CH0036N,"1” O.D. 36"" Straight Shower Rod CH",ASHS - Seachrome,,,,,,,
7E2101250BN0036,7E2101-250.BN0036N,"1” O.D. 36"" Straight Shower Rod BN",ASHS - Seachrome,,,,,,,
7E2102250MB0036,7E2102-250.MB0036N,"1” O.D. 36"" Straight Shower Rod MB",ASHS - Seachrome,,,,,,,
7E2103250CH0048,7E2103-250.CH0048N,"1” O.D. 48"" Straight Shower Rod CH",ASHS - Seachrome,,,,,,,
7E2104250BN0048,7E2104-250.BN0048N,"1” O.D. 48"" Straight Shower Rod BN",ASHS - Seachrome,,,,,,,
7E2105250MB0048,7E2105-250.MB0048N,"1” O.D. 48"" Straight Shower Rod MB",ASHS - Seachrome,,,,,,,
7E2106250CH0060,7E2106-250.CH0060N,"1” O.D. 60"" Straight Shower Rod CH",ASHS - Seachrome,,,,,,,
7E2107250BN0060,7E2107-250.BN0060N,"1” O.D. 60"" Straight Shower Rod BN",ASHS - Seachrome,,,,,,,
7E2108250MB0060,7E2108-250.MB0060N,"1” O.D. 60"" Straight Shower Rod MB",ASHS - Seachrome,,,,,,,
7E2109250CH0072,7E2109-250.CH0072N,"1” O.D. 72"" Straight Shower Rod CH",ASHS - Seachrome,,,,,,,
7E2110250BN0072,7E2110-250.BN0072N,"1” O.D. 72"" Straight Shower Rod BN",ASHS - Seachrome,,,,,,,
7E2111250MB0072,7E2111-250.MB0072N,"1” O.D. 72"" Straight Shower Rod MB",ASHS - Seachrome,,,,,,,
7E0210250CH0001,7E0210-250.CH0001N,"1"" Straight Rod Flange CH",ASHS - Seachrome,,,,,,,
7E0211250BN0001,7E0211-250.BN0001N,"1"" Straight Rod Flange BN",ASHS - Seachrome,,,,,,,
7E0212250MB0001,7E0212-250.MB0001N,"1"" Straight Rod Flange MB",ASHS - Seachrome,,,,,,,
DOORS,,,,,,,,,,
TUB BY-PASS,,,,,,,,,,
7G0300350CH6058,7G0300-350.CH6058N,56-60 in. W x 58 in. H Tub Door CH,ASHS - Basco,,,,,,,
7G0302350LB6058,7G0302-350.LB6058N,56-60 in. W x 58 in. H Tub Door ORB,ASHS - Basco,,,,,,,
G0110250CH6065N,7G0110-250.CH6065N,"Celesta Tub Dr 60""x65""CH",ASHS - Basco,,,,,,,
G0111250BN6065N,7G0111-250.BN6065N,"Celesta Tub Dr 60""x65""BN",ASHS - Basco,,,,,,,
G0112250MB6065N,7G0112-250.MB6065N,"Celesta Tub Dr 60""x65""MB",ASHS - Basco,,,,,,,
G0113250LB6065N,7G0113-250.LB6065N,Celesta Tub Door 60x65ORB,ASHS - Basco,,,,,,,
G0114250CH6065N,7G0114-250.CH6065N,"Celesta Tub Dr 60""x65""CH-SILK",ASHS - Basco,,,,,,,
G0115250BN6065N,7G0115-250.BN6065N,"Celesta Tub Dr 60""x65""BN-SILK",ASHS - Basco,,,,,,,
G0116250MB6065N,7G0116-250.MB6065N,"Celesta Tub Dr 60""x65""MB-SILK",ASHS - Basco,,,,,,,
G0117250LB6065N,7G0117-250.LB6065N,"Celesta Tub Dr 60""x65""MB-SILK",ASHS - Basco,,,,,,,
HINGE/PIVOT DOOR,,,,,,,,,,
SHDR2034722-01,7G1500-250.CH3572N,Hinge Door LS - 34-35-72 Chrome,5,,,,,,,
SHDR2034722-06,7G1502-250.LB3572N,Hinge Door - 34-35-72 ORB,10,,,,,,,
SHDR2046722-06,7G1510-250.LB4772N,Hinge Door - 46-47 ORB,10,,,,,,,
SHDR2058722-06,7G1522-250.LB5972N,Hinge Door - 58-59 ORB,9,,,,,,,
G1100250CH6076N,7G1100-250.CH6076N,"Copa-935 Pvt Dr 60""x76""CH",ASHS - Basco,,,,,,,
G1101250BN6076N,7G1101-250.BN6076N,"Copa-935 Pvt Dr 60""x76""BN",ASHS - Basco,,,,,,,
G1102250MB6076N,7G1102-250.MB6076N,"Copa-935 Pvt Dr 60""x76""MB",ASHS - Basco,,,,,,,
G1103250CH4876N,7G1103-250.CH4876N,"Copa-935 Pvt Dr 48""x76""CH",ASHS - Basco,,,,,,,
G1104250BN4876N,7G1104-250.BN4876N,"Copa-935 Pvt Dr 48""x76""BN",ASHS - Basco,,,,,,,
G1105250MB4876N,7G1105-250.MB4876N,"Copa-935 Pvt Dr 48""x76""MB",ASHS - Basco,,,,,,,
G1110250CH3276N,7G1110-250.CH3276N,"Copa-900 Pvt Dr 32""x76""CH",ASHS - Basco,,,,,,,
G1111250BN3276N,7G1111-250.BN3276N,"Copa-900 Pvt Dr 32""x76""BN",ASHS - Basco,,,,,,,
G1112250MB3276N,7G1112-250.MB3276N,"Copa-900 Pvt Dr 32""x76""MB",ASHS - Basco,,,,,,,
G1113250CH3676N,7G1113-250.CH3676N,"Copa-900 Pvt Dr 36""x76""CH",ASHS - Basco,,,,,,,
G1114250BN3676N,7G1114-250.BN3676N,"Copa-900 Pvt Dr 36""x76""BN",ASHS - Basco,,,,,,,
G1115250MB3676N,7G1115-250.MB3676N,"Copa-900 Pvt Dr 36""x76""MB",ASHS - Basco,,,,,,,
G1123250LB3676N,7G1123-250.LB3676N,Copa-900 Pvt Dr 36x76ORB,,,,,,,,
G1116250CH4276N,7G1116-250.CH4276N,"Fusion Pvt Dr 42""x74""CH",Pivot Door with Panel ,Fusion Semi-Frameless Glass Swing Door & Panel Shower Door Parts | Basco Shower Doors,,,,,,
G1117250BN4276N,7G1117-250.BN4276N,"Fusion Pvt Dr 42""x74""BN",Pivot Door with Panel ,,,,,,,
G1118250MB4276N,7G1118-250.MB4276N,"Fusion Pvt Dr 42""x74""MB",Pivot Door with Panel ,,,,,,,
G1124250LB4276N,7G1124-250.LB4276N,"Fusion Pvt Dr 42""x74""ORB",Pivot Door with Panel ,,,,,,,
SHOWER BY-PASS (SLIDER),,,,,,,,,,
7G1700350CH4876,7G1700-350.CH4876N,44-48 in. W x 76 in. H Bypass CH Door ,Effective 5/19/25 this door have been deleted  use  7G1304-250.CH4876N Door,,,,,,,
7G1701350BN4876,7G1701-350.BN4876N,44-48 in. W x 76 in. H Bypass BN Door,Effective 5/19/25 this door have been deleted  use  7G1305-250.BN4876N Door , ,,,,,,
7G1702350LB4876,7G1702-350.LB4876N,44-48 in. W x 76 in. H Bypass ORB Door,Effective 5/19/25 this door has been deleted  use 7G1308-250.LB4876N Door ,,,,,,,
7G1703350MB4876,7G1703-350.MB4876N,44-48 in. W x 76 in. H Bypass MB Door,Effective 5/19/25 this door has been deleted.  Use 7G1307-250.MB4876N Door ,,,,,,,
RTLA-905-56X76XPSV,7G2600-290.CH5476N,"54"" Rotolo 52"" - 56"" CH",,,,,,,,
RTLA-905-56X76XPBN,7G2601-290.BN5476N,"54"" Rotolo 52"" - 56"" BN",,,,,,,,
7G1706350LB5476,7G1706-350.LB5476N,50-54 in. W x 76 in. H Bypass ORB Door,,,,,,,,
7G1707350MB5476,7G1707-350.MB5476N,50-54 in. W x 76 in. H Bypass MB Door,1,,,,,,,
G1300250CH6076N,7G1300-250.CH6076N,Celesta Byps Shwr 60x76CH,"Shower Bypass Door w/ Clear Glass 60""  CH",Celesta Semi-Frameless Glass Sliding Bath Tub & Shower Door Parts | Basco Shower Doors,,,,,,
G1301250BN6076N,7G1301-250.BN6076N,Celesta Byps Shwr 60x76BN,"Shower Bypass Door w/ Clear Glass 60""  BN",,,,,,,
G1303250MB6076N,7G1303-250.MB6076N,Celesta Byps Shwr 60x76MB,"Shower Bypass Door w/ Clear Glass 60""  MB",,,,,,,
G1304250CH4876N,7G1304-250.CH4876N,Celesta Byps Shwr 48x76CH,,,,,,,,
G1305250BN4876N,7G1305-250.BN4876N,Celesta Byps Shwr 48x76BN,,,,,,,,
G1307250MB4876N,7G1307-250.MB4876N,Celesta Byps Shwr 48x76MB,,,,,,,,
G1308250LB4876O,7G1308-250.LB4876N,Celesta BypsShwr 48x76ORB,,,,,,,,
G1308250LB6076N,7G1308-250.LB6076N,Celesta BypsShwr 60x76ORB,,,,,,,,
G1309250CH6076N,7G1309-250.CH6076N,Celesta Byps Shwr 60x76CH-SILK,"Bypass Door w/ silk Glass 60""  CH",,,,,,,
G1310250BN6076N,7G1310-250.BN6076N,Celesta Byps Shwr 60x76BN-SILK,"Bypass Door w/ silk Glass 60"" BN",,,,,,,
G1311250MB6076N,7G1311-250.MB6076N,Celesta Byps Shwr 60x76MB-SILK,"Bypass Door w/ silk Glass 60"" MB",,,,,,,
G1312250LB6076N,7G1312-250.LB6076N,Celesta BypsShwr 60x76ORB-SILK,"Bypass Door w/ silk Glass 60""  ORB ",,,,,,,
G1313250CH4876N,7G1313-250.CH4876N,Celesta Byps Shwr 48x76CH-SILK,"Bypass Door w/ silk Glass 48"" CH",,,,,,,
G1314250BN4876N,7G1314-250.BN4876N,Celesta Byps Shwr 48x76N-SILK,"Bypass Door w/ silk Glass 48"" BN",,,,,,,
G1315250MB4876N,7G1315-250.MB4876N,Celesta Byps Shwr 48x76MB-SILK,"Bypass Door w/ silk Glass 48"" MB ",,,,,,,
